game_id,game_date,game_datetime,category_id,status_code,status_info,stadium,home_team_code,home_team_name,away_team_code,away_team_name,home_score,away_score,home_starter_name,away_starter_name,win_pitcher_name,lose_pitcher_name,broad_channel,manual_relay_url,round_code,title
20250902HTHH02025,2025-09-02,2025-09-02T18:30:00,kbo,RESULT,9회초,대전,HH,한화,HT,KIA,21,3,류현진,김도현,류현진,김도현,,,kbo_r,
20250903NCHH02025,2025-09-03,2025-09-03T18:30:00,kbo,RESULT,10회말,대전,HH,한화,NC,NC,6,5,,신민혁,정우주,이준혁,,,kbo_r,
20250906HHSS02025,2025-09-06,2025-09-06T17:00:00,kbo,RESULT,9회말,대구,SS,삼성,HH,한화,4,7,이승현,문동주,문동주,이승현,,,kbo_r,
20250907HHSS02025,2025-09-07,2025-09-07T17:00:00,kbo,RESULT,9회초,대구,SS,삼성,HH,한화,4,3,원태인,황준서,원태인,황준서,,,kbo_r,
20250909HHLT02025,2025-09-09,2025-09-09T18:30:00,kbo,RESULT,9회말,사직,LT,롯데,HH,한화,1,9,박세웅,,와이스,박세웅,,,kbo_r,
20250910HHLT02025,2025-09-10,2025-09-10T18:30:00,kbo,RESULT,9회말,사직,LT,롯데,HH,한화,0,13,,류현진,류현진,감보아,,,kbo_r,
20250912WOHH02025,2025-09-12,2025-09-12T18:30:00,kbo,BEFORE,경기취소,대전,HH,한화,WO,키움,0,0,,하영민,,,,,kbo_r,
20250913WOHH02025,2025-09-13,2025-09-13T17:00:00,kbo,RESULT,9회초,대전,HH,한화,WO,키움,10,5,,하영민,폰세,하영민,,,kbo_r,
20250914WOHH02025,2025-09-14,2025-09-14T17:00:00,kbo,RESULT,9회말,대전,HH,한화,WO,키움,10,13,문동주,정현우,원종현,문동주,,,kbo_r,
20250915WOHH02025,2025-09-15,2025-09-15T18:30:00,kbo,RESULT,9회초,대전,HH,한화,WO,키움,7,6,정우주,박정훈,주현상,원종현,,,kbo_r,
20250916HHHT02025,2025-09-16,2025-09-16T18:30:00,kbo,RESULT,9회말,광주,HT,KIA,HH,한화,1,11,김태형,,와이스,김태형,,,kbo_r,
20250917HHHT02025,2025-09-17,2025-09-17T18:30:00,kbo,RESULT,9회말,광주,HT,KIA,HH,한화,2,6,김건국,류현진,류현진,김건국,,,kbo_r,
20250918HHHT02025,2025-09-18,2025-09-18T18:30:00,kbo,RESULT,9회말,광주,HT,KIA,HH,한화,3,4,올러,윤산흠,엄상백,전상현,,,kbo_r,
20250919HHKT02025,2025-09-19,2025-09-19T18:30:00,kbo,BEFORE,경기취소,수원,KT,KT,HH,한화,0,0,고영표,,,,,,kbo_r,
20250920HHKT02025,2025-09-20,2025-09-20T17:00:00,kbo,RESULT,9회초,수원,KT,KT,HH,한화,4,2,고영표,,고영표,폰세,,,kbo_r,
20250924HHSK02025,2025-09-24,2025-09-24T18:30:00,kbo,BEFORE,경기취소,문학,SK,SSG,HH,한화,0,0,최민준,,,,,,kbo_r,
20250925HHOB02025,2025-09-25,2025-09-25T18:30:00,kbo,RESULT,9회초,잠실,OB,두산,HH,한화,7,0,잭로그,,잭로그,와이스,,,kbo_r,
20250926LGHH02025,2025-09-26,2025-09-26T18:30:00,kbo,RESULT,9회초,대전,HH,한화,LG,LG,4,1,류현진,치리노스,김범수,치리노스,,,kbo_r,
20250927LGHH02025,2025-09-27,2025-09-27T17:00:00,kbo,RESULT,9회말,대전,HH,한화,LG,LG,2,9,문동주,톨허스트,톨허스트,문동주,,,kbo_r,
20250928LGHH02025,2025-09-28,2025-09-28T14:00:00,kbo,BEFORE,경기취소,대전,HH,한화,LG,LG,0,0,,임찬규,,,,,kbo_r,
20250929LGHH02025,2025-09-29,2025-09-29T18:30:00,kbo,RESULT,9회초,대전,HH,한화,LG,LG,7,3,정우주,임찬규,조동욱,임찬규,,,kbo_r,
20250930LTHH02025,2025-09-30,2025-09-30T18:30:00,kbo,RESULT,10회말,대전,HH,한화,LT,롯데,1,0,,,김서현,김원중,,,kbo_r,
20251001HHSK02025,2025-10-01,2025-10-01T18:30:00,kbo,RESULT,9회말,문학,SK,SSG,HH,한화,6,5,최민준,,김성민,김서현,,,kbo_r,
20251003HHKT02025,2025-10-03,2025-10-03T17:00:00,kbo,RESULT,11회말,수원,KT,KT,HH,한화,6,6,오원석,박준영,,,,,kbo_r,
