season_id,year,game_type,team_code,team_name,player_id,player_name,back_number,position,ranking,is_qualified,hitter_hra,hitter_rbi,hitter_run,hitter_hr,hitter_hit,hitter_h2,hitter_h3,hitter_game_count,hitter_ab,hitter_sb,hitter_cs,hitter_bb,hitter_hp,hitter_kk,hitter_gd,hitter_obp,hitter_slg,hitter_ops,hitter_isop,hitter_babip,hitter_woba,hitter_wrc_plus,hitter_wpa,hitter_war
2025,2025,REGULAR_SEASON,HT,KIA,62947,나성범,47,외야수,,False,0.2681992337164751,36,30,10,70,16,0,82,261,0,,42,6,79,,0.381,0.444,0.825,0.176,0.347,0.372,131.8,0.336,3.2
2025,2025,REGULAR_SEASON,HT,KIA,67610,김석환,35,외야수,,False,0.26495726495726496,16,14,2,31,1,2,47,117,0,,14,2,55,,0.351,0.359,0.71,0.09399999999999997,0.475,0.33,105.0,0.104,0.4
2025,2025,REGULAR_SEASON,HT,KIA,55926,정현창,12,내야수,,False,0.2631578947368421,0,4,0,5,0,0,16,19,0,,2,0,5,,0.333,0.263,0.596,0.0,0.357,0.283,70.2,-0.208,0.01
2025,2025,REGULAR_SEASON,HT,KIA,78122,김태군,42,포수,,False,0.2584745762711864,31,20,5,61,10,1,100,236,0,,17,10,20,,0.331,0.373,0.704,0.11499999999999999,0.262,0.322,96.3,-0.982,1.12
2025,2025,REGULAR_SEASON,HT,KIA,63722,한승택,45,포수,,False,0.23809523809523808,0,3,0,5,1,0,15,21,0,,1,1,7,,0.304,0.286,0.59,0.04799999999999999,0.357,0.314,92.3,-0.143,0.09
2025,2025,REGULAR_SEASON,HT,KIA,66614,김규성,14,내야수,,False,0.233160621761658,16,30,3,45,4,0,133,193,5,,21,2,49,,0.313,0.301,0.614,0.06799999999999998,0.296,0.29,75.3,-1.049,0.1
2025,2025,REGULAR_SEASON,HT,KIA,68646,한준수,25,포수,,False,0.22540983606557377,26,33,7,55,12,1,103,244,0,,26,3,48,,0.304,0.369,0.673,0.144,0.25,0.301,81.4,-1.233,0.62
2025,2025,REGULAR_SEASON,HT,KIA,63260,이우성,55,외야수,,False,0.21935483870967742,15,11,2,34,10,1,56,155,0,,18,2,37,,0.307,0.335,0.642,0.11600000000000002,0.274,0.301,85.3,-1.457,0.3
2025,2025,REGULAR_SEASON,HT,KIA,69727,변우혁,29,내야수,,False,0.2183098591549296,17,11,0,31,7,0,47,142,0,,10,1,47,,0.275,0.268,0.543,0.05000000000000002,0.326,0.262,54.7,-1.237,-0.47
2025,2025,REGULAR_SEASON,HT,KIA,50657,박민,2,내야수,,False,0.2021276595744681,6,11,1,19,5,0,71,94,1,,5,3,33,,0.265,0.287,0.552,0.08499999999999996,0.3,0.245,42.5,-1.098,-0.22
2025,2025,REGULAR_SEASON,HT,KIA,50600,홍종표,10,내야수,,False,0.19230769230769232,1,10,0,10,0,0,44,52,1,,7,0,14,,0.283,0.192,0.475,0.0,0.256,0.248,46.1,-0.807,-0.05
2025,2025,REGULAR_SEASON,HT,KIA,65610,황대인,34,내야수,,False,0.18867924528301888,8,3,1,10,3,0,18,53,0,,3,0,14,,0.228,0.302,0.53,0.11299999999999999,0.231,0.264,56.6,-0.523,-0.16
2025,2025,REGULAR_SEASON,HT,KIA,65464,최정용,23,내야수,,False,0.16666666666666669,0,0,0,1,0,0,4,6,0,,0,0,2,,0.167,0.167,0.334,0.0,0.25,0.15,-24.8,-0.163,-0.05
2025,2025,REGULAR_SEASON,HT,KIA,64560,이창진,8,외야수,,False,0.16129032258064518,9,11,1,15,3,0,37,93,0,,16,2,22,,0.295,0.226,0.521,0.065,0.197,0.261,54.4,-0.709,-0.51
2025,2025,REGULAR_SEASON,HT,KIA,78168,서건창,14,내야수,,False,0.13636363636363635,2,1,1,3,1,0,10,22,1,,2,0,5,,0.208,0.318,0.526,0.182,0.125,0.213,20.0,-0.347,-0.08
2025,2025,REGULAR_SEASON,HT,KIA,55637,박헌,113,외야수,,False,0.08333333333333334,0,0,0,1,0,0,8,12,0,,1,1,3,,0.214,0.083,0.297,0.0,0.111,0.169,-11.3,-0.233,-0.16
2025,2025,REGULAR_SEASON,HT,KIA,55636,박재현,15,외야수,,False,0.08064516129032259,3,11,0,5,1,0,58,62,4,,6,0,26,,0.159,0.097,0.256,0.016,0.135,0.133,-37.5,-0.774,-1.04
2025,2025,REGULAR_SEASON,HT,KIA,53659,정해원,9,외야수,,False,0.075,0,5,0,3,0,0,24,40,0,,5,1,14,,0.196,0.075,0.271,0.0,0.115,0.173,-8.4,-0.723,-0.55
2025,2025,REGULAR_SEASON,HT,KIA,69620,김기훈,53,투수,,False,0.0,0,0,0,0,0,0,2,1,0,,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0
2025,2025,REGULAR_SEASON,HT,KIA,60337,김대유,69,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,68928,김시훈,61,투수,,False,0.0,0,0,0,0,0,0,4,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,69516,김현수,17,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,55632,이성원,58,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,65665,이준영,20,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,66609,전상현,51,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,50662,정해영,62,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,63342,조상우,11,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,51994,한재승,55,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,52641,황동하,41,투수,,False,0.0,0,0,0,0,0,0,3,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,52001,안현민,23,외야수,2,True,0.3341772151898734,80,72,22,132,19,4,112,395,7,,75,9,72,,0.448,0.57,1.018,0.23599999999999993,0.362,0.438,172.5,2.451,7.22
2025,2025,REGULAR_SEASON,KT,KT,79240,허경민,13,내야수,21,True,0.2833333333333333,44,47,4,119,18,0,114,420,4,,39,15,35,,0.362,0.355,0.717,0.07200000000000001,0.299,0.337,104.1,-0.857,1.78
2025,2025,REGULAR_SEASON,KT,KT,78548,장성우,22,포수,39,True,0.24697336561743338,58,44,14,102,13,0,129,413,0,,55,2,96,,0.333,0.38,0.713,0.133,0.283,0.325,96.3,-2.276,1.49
2025,2025,REGULAR_SEASON,KT,KT,68504,이호연,36,내야수,,False,0.34285714285714286,8,8,1,24,7,0,32,70,0,,3,1,14,,0.378,0.486,0.864,0.14299999999999996,0.418,0.385,139.2,-0.144,0.57
